,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
sample_1,7.506944444,1.180555556,7.506944444,1.180555556,0.372551159,53.064,50.04,53.0265491,20,0.090531375,-0.193121261,0.193121261,0.090531375,2,2.25,2.25,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.69598,15.81
sample_2,9.055555556,0.638888889,9.055555556,0.638888889,0.313131264,56.064,52.032,56.02621475,22,0.141745822,-0.29858709,0.29858709,0.141745822,1.75,2,2,0,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.3713,16.261
sample_3,9.25,-0.981481481,9.25,0.833333333,0.45085806,72.063,68.031,72.02112937,28,0.327198112,-0.478089149,0.478089149,0.327198112,2,2.2,2.2,0,5,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.257,17.8328
sample_4,5.067901235,0.555555556,5.067901235,0.555555556,0.327275949,76.526,71.486,76.00797784,24,0.040106491,-0.122219648,0.122219648,0.040106491,2,2.25,2.25,0.333333333,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.4112,20.917
sample_5,3.361111111,1.75,3.361111111,1.75,0.357068817,42.081,36.033,42.04695019,18,-0.04725981,-0.103361251,0.103361251,0.04725981,2,2,2,0.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1923,15.871
sample_6,5.191358025,0.617283951,5.191358025,0.617283951,0.449521376,110.971,106.939,109.9690055,30,0.026234895,-0.091711558,0.091711558,0.026234895,1.8,2,2,0.333333333,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.3253,25.463
sample_7,7.756944444,0.083333333,7.756944444,0.083333333,0.425825651,58.08,52.032,58.04186481,24,0.060931221,-0.392317809,0.392317809,0.060931221,2,2.25,2.25,0.333333333,4,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.1647,17.2828
sample_8,4.305555556,1.375,4.305555556,1.375,0.404627657,58.08,52.032,58.04186481,24,0.076568045,-0.504985275,0.504985275,0.076568045,2,2.25,2.25,0.333333333,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.7763,17.206
sample_9,9.173611111,0.638888889,9.173611111,0.638888889,0.403259903,58.08,52.032,58.04186481,24,0.119214944,-0.303414233,0.303414233,0.119214944,2,2.25,2.25,0.666666667,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.5953,16.355
sample_10,9.256944444,-0.99537037,9.256944444,0.111111111,0.405179006,73.071,68.031,73.02950298,30,0.041108964,-0.550182865,0.550182865,0.041108964,2,2.2,2.2,0.666666667,5,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,-0.8537,15.298
